forecast_date,submission_date,target,target_end_date,location,type,quantile,value,model
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,point,,39.3333333333333,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.01,10.9966666666667,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.025,14,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.05,16.3333333333333,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.1,20,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.15,23,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.2,25.3333333333333,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.25,27.6666666666667,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.3,30,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.35,32,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.4,34.6666666666667,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.45,36.6666666666667,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.5,39.3333333333333,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.55,41.3333333333333,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.6,44.3333333333333,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.65,47,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.7,50.3333333333333,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.75,53.6666666666667,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.8,57.4,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.85,62.6666666666667,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.9,68.6666666666667,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.95,78.6666666666667,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.975,86.35,mean
2021-06-28,2021-06-28,1 wk ahead inc death,2021-07-03,01,quantile,0.99,97.0166666666667,mean
2021-06-28,2021-06-28,2 wk ahead inc death,2021-07-10,01,point,,36,mean
2021-06-28,2021-06-28,2 wk ahead inc death,2021-07-10,01,quantile,0.01,8.33333333333333,mean
2021-06-28,2021-06-28,2 wk ahead inc death,2021-07-10,01,quantile,0.025,12,mean
2021-06-28,2021-06-28,2 wk ahead inc death,2021-07-10,01,quantile,0.05,14.3333333333333,mean
2021-06-28,2021-06-28,2 wk ahead inc death,2021-07-10,01,quantile,0.1,17.3333333333333,mean
