ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.354,,2,"1, 2, 3, 4"
QRA,Rt,0.459,,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.01,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.025,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.05,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.1,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.15,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.2,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.25,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.3,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.35,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.4,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.45,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.5,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.55,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.55,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.55,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.6,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.6,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.6,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.65,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.65,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.65,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.7,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.7,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.7,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.75,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.75,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.75,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.8,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.8,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.8,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.85,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.85,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.85,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.9,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.9,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.9,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.95,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.95,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.95,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.975,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.975,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.975,2,"1, 2, 3, 4"
QRA,Case convolution,0.354,0.99,2,"1, 2, 3, 4"
QRA,Rt,0.459,0.99,2,"1, 2, 3, 4"
QRA,Timeseries,0.186,0.99,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.346,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.201,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.381,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.166,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.381,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.025,2,"1, 2, 3, 4"
