Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,14903 (9492 -- 26082),Likely increasing,1.1 (1 -- 1.2),0.023 (-0.00041 -- 0.06),31 (12 -- -1700)
Alaska,3077 (2077 -- 5164),Likely increasing,1 (0.94 -- 1.2),0.0082 (-0.018 -- 0.04),85 (17 -- -39)
Arizona,23553 (11316 -- 47134),Unsure,1 (0.79 -- 1.3),0.013 (-0.059 -- 0.08),55 (8.6 -- -12)
Arkansas,8830 (5850 -- 14236),Likely increasing,1 (0.95 -- 1.2),0.011 (-0.015 -- 0.043),65 (16 -- -47)
California,158859 (104919 -- 283971),Likely increasing,1.2 (1.1 -- 1.5),0.06 (0.026 -- 0.13),12 (5.5 -- 27)
Colorado,17569 (10867 -- 31606),Unsure,0.99 (0.84 -- 1.2),-0.0034 (-0.046 -- 0.06),-200 (11 -- -15)
Connecticut,16615 (8181 -- 29570),Likely increasing,1.1 (0.91 -- 1.2),0.027 (-0.024 -- 0.058),26 (12 -- -29)
Delaware,3610 (2234 -- 6127),Likely increasing,1.1 (0.98 -- 1.3),0.037 (-0.0057 -- 0.086),19 (8.1 -- -120)
District of Columbia,1326 (834 -- 2699),Likely increasing,1.1 (1 -- 1.5),0.036 (0.0021 -- 0.12),19 (5.6 -- 340)
Florida,43306 (26479 -- 71572),Likely increasing,1.1 (0.9 -- 1.2),0.015 (-0.027 -- 0.049),47 (14 -- -26)
Georgia,33514 (14828 -- 101730),Unsure,1.2 (0.95 -- 1.8),0.055 (-0.015 -- 0.2),13 (3.5 -- -47)
Guam,45 (11 -- 146),Unsure,0.74 (0.46 -- 1.1),-0.075 (-0.16 -- 0.021),-9.2 (33 -- -4.3)
Hawaii,402 (268 -- 642),Unsure,1 (0.91 -- 1.1),0.00083 (-0.025 -- 0.032),830 (22 -- -28)
Idaho,6372 (4299 -- 9998),Likely increasing,1 (0.92 -- 1.1),0.00015 (-0.022 -- 0.023),4800 (31 -- -31)
Illinois,46149 (25358 -- 94094),Unsure,1.1 (0.86 -- 1.5),0.027 (-0.039 -- 0.12),25 (5.7 -- -18)
Indiana,33509 (20002 -- 61031),Likely increasing,1.2 (0.94 -- 1.5),0.043 (-0.018 -- 0.12),16 (5.6 -- -39)
Iowa,6582 (2899 -- 16926),Unsure,0.92 (0.64 -- 1.4),-0.022 (-0.1 -- 0.099),-32 (7 -- -6.7)
