region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2020-12-21,,estimate,13916,14494.8,3420,10098.3,12124,13138.9,14717.9,16146.3,20791.3
Alabama,2020-12-22,,estimate,14023.4,14576,3405.1,10224.7,12210.9,13252.4,14800.5,16183.6,20828.1
Alabama,2020-12-23,,estimate,14086.4,14635.4,3364.1,10369.8,12258.7,13338.1,14832.6,16231.8,20765.4
Alabama,2020-12-24,,estimate,14102.5,14678.8,3317.6,10482.2,12324.2,13434.3,14902,16263.5,20715.2
Alabama,2020-12-25,,estimate,14122.4,14706.3,3272.5,10518.5,12414.5,13447.9,14914.7,16290,20762.5
Alabama,2020-12-26,,estimate,14078.9,14687.3,3230.6,10572,12411.4,13450.3,14935.7,16254,20725.8
Alabama,2020-12-27,,estimate,14068.1,14650.5,3191.5,10604.6,12406.7,13426.5,14887.5,16199.2,20673.4
Alabama,2020-12-28,,estimate,14026.4,14592.4,3154.6,10567.1,12394.7,13345.4,14842.2,16179.7,20471.7
Alabama,2020-12-29,,estimate,13947.2,14510.4,3118.9,10522.8,12332,13289.4,14760.1,16100.4,20216.4
Alabama,2020-12-30,,estimate,13864.7,14403,3083,10424.2,12277.8,13185.6,14659.6,15972.6,19990.6
Alabama,2020-12-31,,estimate,13754.1,14269.9,3045.8,10353.1,12171.7,13082.8,14529.4,15821.4,19725
Alabama,2021-01-01,,estimate,13634.5,14112.2,3006.7,10249.2,12034.1,12955.9,14344.3,15640.8,19591.1
Alabama,2021-01-02,,estimate,13472.9,13932.2,2965.9,10130.1,11895.8,12801.5,14191.5,15417.8,19335.7
Alabama,2021-01-03,,estimate,13280.6,13733.2,2924.7,9983.2,11718.8,12637.8,13997.4,15186.2,19110.9
Alabama,2021-01-04,,estimate,13096.4,13519.6,2884.9,9832.6,11498.3,12451.3,13749.4,14935.7,18885
Alabama,2021-01-05,,estimate,12849,13295.6,2847.6,9655.4,11319.9,12256.5,13527.9,14717.3,18612.4
Alabama,2021-01-06,,estimate,12584.2,13067,2815.7,9421.4,11129,12014,13295,14468.1,18315
Alabama,2021-01-07,,estimate,12344.6,12836.2,2785,9140,10926.7,11783.9,13047.8,14230.8,18016.4
Alabama,2021-01-08,,estimate,12143.1,12606.1,2752.9,8948.4,10732.7,11539.4,12830.2,14036.2,17748
Alabama,2021-01-09,,estimate,11930.5,12378.8,2717,8810,10527.6,11289.8,12619.7,13783.7,17398.4
Alabama,2021-01-10,,estimate,11729.2,12155.2,2675.3,8638.6,10328.2,11088.8,12380.6,13542.2,17034.3
Alabama,2021-01-11,,estimate,11510.2,11935.6,2627,8450.5,10136,10905.9,12140.8,13291,16749.4
Alabama,2021-01-12,,estimate,11287.5,11719.6,2572.1,8384.1,9963.7,10752.3,11910,13051,16407.8
Alabama,2021-01-13,,estimate,11082.9,11505.8,2511.7,8249.1,9786.8,10568.8,11706.8,12771.6,16040.1
Alabama,2021-01-14,,estimate,10869.7,11292.4,2447.8,8160.6,9593.4,10370.5,11476.8,12537.2,15710.2
Alabama,2021-01-15,,estimate,10654.9,11077,2382.8,8034.4,9390.4,10167.9,11257.1,12296.7,15397.9
Alabama,2021-01-16,,estimate,10439.1,10856.8,2318.9,7907,9197.7,9969.9,11035.5,12009.2,15068.6
