region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2020-06-08,,estimate,1.06,1.05,0.13,0.83,0.98,1.03,1.08,1.12,1.26
Alabama,2020-06-09,,estimate,1.06,1.06,0.12,0.85,0.98,1.04,1.08,1.12,1.25
Alabama,2020-06-10,,estimate,1.06,1.06,0.11,0.87,0.99,1.04,1.08,1.12,1.24
Alabama,2020-06-11,,estimate,1.06,1.06,0.11,0.88,1,1.04,1.08,1.12,1.23
Alabama,2020-06-12,,estimate,1.07,1.06,0.1,0.89,1,1.05,1.09,1.12,1.22
Alabama,2020-06-13,,estimate,1.07,1.07,0.09,0.91,1.01,1.05,1.09,1.12,1.22
Alabama,2020-06-14,,estimate,1.07,1.07,0.09,0.93,1.02,1.05,1.09,1.13,1.22
Alabama,2020-06-15,,estimate,1.08,1.08,0.09,0.94,1.02,1.06,1.09,1.13,1.21
Alabama,2020-06-16,,estimate,1.08,1.08,0.08,0.95,1.03,1.06,1.1,1.13,1.21
Alabama,2020-06-17,,estimate,1.08,1.09,0.08,0.96,1.04,1.07,1.1,1.13,1.21
Alabama,2020-06-18,,estimate,1.09,1.09,0.08,0.97,1.04,1.07,1.1,1.14,1.22
Alabama,2020-06-19,,estimate,1.09,1.09,0.08,0.98,1.05,1.07,1.11,1.14,1.22
Alabama,2020-06-20,,estimate,1.09,1.1,0.07,0.99,1.05,1.08,1.11,1.14,1.22
Alabama,2020-06-21,,estimate,1.1,1.1,0.07,1,1.06,1.08,1.12,1.15,1.23
Alabama,2020-06-22,,estimate,1.1,1.11,0.07,1.01,1.06,1.09,1.12,1.15,1.24
Alabama,2020-06-23,,estimate,1.11,1.11,0.07,1.01,1.06,1.09,1.12,1.15,1.24
Alabama,2020-06-24,,estimate,1.11,1.12,0.08,1.01,1.07,1.09,1.13,1.16,1.25
Alabama,2020-06-25,,estimate,1.11,1.12,0.08,1.02,1.07,1.09,1.13,1.16,1.25
Alabama,2020-06-26,,estimate,1.11,1.12,0.08,1.02,1.07,1.1,1.13,1.17,1.26
Alabama,2020-06-27,,estimate,1.11,1.13,0.08,1.02,1.07,1.09,1.13,1.17,1.27
Alabama,2020-06-28,,estimate,1.11,1.13,0.08,1.02,1.07,1.09,1.14,1.17,1.28
Alabama,2020-06-29,,estimate,1.11,1.13,0.08,1.02,1.07,1.09,1.14,1.17,1.28
Alabama,2020-06-30,,estimate,1.11,1.13,0.08,1.02,1.07,1.09,1.13,1.18,1.28
Alabama,2020-07-01,,estimate,1.11,1.13,0.09,1.02,1.07,1.09,1.13,1.17,1.29
Alabama,2020-07-02,,estimate,1.11,1.12,0.08,1.02,1.07,1.09,1.13,1.17,1.28
Alabama,2020-07-03,,estimate,1.1,1.12,0.08,1.02,1.06,1.09,1.13,1.16,1.28
Alabama,2020-07-04,,estimate,1.1,1.12,0.08,1.02,1.06,1.08,1.12,1.16,1.27
Alabama,2020-07-05,,estimate,1.1,1.11,0.08,1.02,1.06,1.08,1.12,1.15,1.27
Alabama,2020-07-06,,estimate,1.09,1.11,0.08,1.02,1.06,1.07,1.11,1.15,1.26
Alabama,2020-07-07,,estimate,1.08,1.1,0.08,1.01,1.05,1.07,1.1,1.14,1.24
Alabama,2020-07-08,,estimate,1.08,1.09,0.07,1.01,1.05,1.06,1.09,1.13,1.23
Alabama,2020-07-09,,estimate,1.07,1.09,0.07,1,1.04,1.06,1.09,1.12,1.22
Alabama,2020-07-10,,estimate,1.07,1.08,0.07,0.99,1.04,1.05,1.08,1.11,1.2
Alabama,2020-07-11,,estimate,1.06,1.07,0.07,0.98,1.03,1.05,1.07,1.1,1.18
Alabama,2020-07-12,,estimate,1.05,1.06,0.07,0.97,1.02,1.04,1.07,1.09,1.17
Alabama,2020-07-13,,estimate,1.05,1.05,0.06,0.96,1.02,1.04,1.06,1.08,1.15
Alabama,2020-07-14,,estimate,1.04,1.04,0.07,0.95,1.01,1.03,1.05,1.08,1.14
Alabama,2020-07-15,,estimate,1.03,1.03,0.07,0.94,1,1.02,1.05,1.07,1.13
Alabama,2020-07-16,,estimate,1.03,1.03,0.07,0.92,0.99,1.02,1.04,1.06,1.12
Alabama,2020-07-17,,estimate,1.02,1.02,0.07,0.9,0.98,1.01,1.03,1.05,1.11
Alabama,2020-07-18,,estimate,1.02,1.01,0.07,0.89,0.97,1,1.03,1.05,1.1
Alabama,2020-07-19,,estimate,1.01,1,0.07,0.88,0.96,0.99,1.02,1.04,1.09
Alabama,2020-07-20,,estimate,1,0.99,0.07,0.86,0.95,0.99,1.02,1.04,1.08
Alabama,2020-07-21,,estimate,1,0.98,0.07,0.85,0.94,0.98,1.01,1.03,1.08
Alabama,2020-07-22,,estimate,0.99,0.98,0.08,0.84,0.93,0.97,1.01,1.03,1.07
Alabama,2020-07-23,,estimate,0.99,0.97,0.08,0.83,0.93,0.97,1,1.03,1.07
Alabama,2020-07-24,,estimate,0.98,0.96,0.08,0.81,0.92,0.96,1,1.02,1.07
Alabama,2020-07-25,,estimate,0.98,0.96,0.08,0.8,0.91,0.95,0.99,1.02,1.06
Alabama,2020-07-26,,estimate,0.97,0.95,0.08,0.79,0.91,0.95,0.99,1.02,1.06
Alabama,2020-07-27,,estimate,0.97,0.95,0.09,0.79,0.9,0.95,0.99,1.01,1.06
Alabama,2020-07-28,,estimate,0.97,0.95,0.09,0.78,0.9,0.94,0.99,1.01,1.06
Alabama,2020-07-29,,estimate,0.97,0.95,0.09,0.78,0.9,0.94,0.98,1.01,1.06
Alabama,2020-07-30,,estimate,0.96,0.95,0.09,0.78,0.9,0.94,0.98,1.01,1.06
Alabama,2020-07-31,,estimate,0.96,0.95,0.09,0.78,0.9,0.94,0.98,1.01,1.06
Alabama,2020-08-01,,estimate,0.96,0.95,0.09,0.78,0.9,0.95,0.98,1.01,1.06
Alabama,2020-08-02,,estimate,0.97,0.95,0.09,0.79,0.91,0.95,0.98,1.01,1.06
Alabama,2020-08-03,,estimate,0.97,0.96,0.08,0.8,0.91,0.95,0.98,1.01,1.06
Alabama,2020-08-04,,estimate,0.97,0.96,0.08,0.81,0.92,0.95,0.99,1.01,1.06
Alabama,2020-08-05,,estimate,0.97,0.97,0.08,0.82,0.93,0.96,0.99,1.02,1.07
Alabama,2020-08-06,,estimate,0.98,0.97,0.08,0.83,0.93,0.96,1,1.02,1.08
Alabama,2020-08-07,,estimate,0.98,0.98,0.07,0.85,0.94,0.97,1,1.03,1.09
Alabama,2020-08-08,,estimate,0.99,0.99,0.07,0.86,0.95,0.97,1.01,1.03,1.1
Alabama,2020-08-09,,estimate,1,1,0.08,0.87,0.95,0.98,1.01,1.04,1.11
Alabama,2020-08-10,,estimate,1,1,0.08,0.87,0.96,0.99,1.02,1.05,1.13
Alabama,2020-08-11,,estimate,1.01,1.01,0.09,0.88,0.96,0.99,1.03,1.06,1.16
Alabama,2020-08-12,,estimate,1.02,1.03,0.1,0.88,0.97,1,1.04,1.07,1.19
Alabama,2020-08-13,,estimate,1.02,1.04,0.11,0.88,0.97,1.01,1.05,1.09,1.23
Alabama,2020-08-14,,estimate based on partial data,1.03,1.05,0.12,0.88,0.97,1.01,1.05,1.11,1.28
Alabama,2020-08-15,,estimate based on partial data,1.03,1.06,0.14,0.87,0.97,1.01,1.06,1.12,1.33
Alabama,2020-08-16,,estimate based on partial data,1.04,1.07,0.16,0.87,0.97,1.01,1.07,1.14,1.38
Alabama,2020-08-17,,estimate based on partial data,1.04,1.08,0.18,0.87,0.97,1.02,1.07,1.16,1.43
Alabama,2020-08-18,,estimate based on partial data,1.04,1.09,0.2,0.87,0.97,1.02,1.07,1.17,1.49
Alabama,2020-08-19,,estimate based on partial data,1.05,1.11,0.22,0.86,0.97,1.02,1.08,1.19,1.55
Alabama,2020-08-20,,estimate based on partial data,1.05,1.12,0.24,0.86,0.97,1.02,1.08,1.2,1.63
Alabama,2020-08-21,,estimate based on partial data,1.05,1.13,0.27,0.85,0.97,1.02,1.08,1.21,1.71
Alabama,2020-08-22,,estimate based on partial data,1.05,1.14,0.29,0.84,0.97,1.02,1.09,1.22,1.78
Alabama,2020-08-23,,estimate based on partial data,1.05,1.15,0.32,0.83,0.97,1.02,1.09,1.23,1.83
Alabama,2020-08-24,,estimate based on partial data,1.05,1.16,0.35,0.82,0.97,1.02,1.09,1.24,1.89
Alabama,2020-08-25,,estimate based on partial data,1.05,1.17,0.38,0.81,0.96,1.02,1.1,1.25,1.93
Alabama,2020-08-26,,estimate based on partial data,1.05,1.18,0.42,0.79,0.96,1.02,1.1,1.26,1.97
Alabama,2020-08-27,,estimate based on partial data,1.05,1.19,0.45,0.78,0.96,1.02,1.1,1.26,2.04
Alabama,2020-08-28,,estimate based on partial data,1.05,1.2,0.49,0.77,0.96,1.02,1.1,1.27,2.12
Alabama,2020-08-29,,estimate based on partial data,1.06,1.21,0.53,0.76,0.96,1.02,1.1,1.28,2.16
Alabama,2020-08-30,,estimate based on partial data,1.05,1.22,0.58,0.75,0.95,1.02,1.1,1.28,2.21
Alabama,2020-08-31,,estimate based on partial data,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-01,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-02,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-03,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-04,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-05,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-06,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-07,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-08,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-09,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-10,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-11,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-12,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-13,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-14,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-15,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-16,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
Alabama,2020-09-17,,forecast,1.05,1.24,0.62,0.73,0.95,1.02,1.1,1.29,2.27
