region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2020-08-10,,estimate,6,9,9,0,2,4,8,12,26
Alabama,2020-08-11,,estimate,18,27,29,1,7,13,24,36,83
Alabama,2020-08-12,,estimate,20,30,31,1,9,15,28,41,91
Alabama,2020-08-13,,estimate,21,30,31,2,9,16,27,41,86
Alabama,2020-08-14,,estimate,20,29,30,1,8,15,25,39,90
Alabama,2020-08-15,,estimate,15,22,24,1,6,11,19,29,68
Alabama,2020-08-16,,estimate,2,3,4,0,1,1,2,4,10
Alabama,2020-08-17,,estimate,7,10,11,0,3,5,9,13,31
Alabama,2020-08-18,,estimate,19,30,33,1,8,14,26,40,94
Alabama,2020-08-19,,estimate,21,32,34,1,9,16,29,43,102
Alabama,2020-08-20,,estimate,22,33,35,1,9,16,29,45,101
Alabama,2020-08-21,,estimate,19,28,30,1,9,15,25,39,82
Alabama,2020-08-22,,estimate,15,23,24,1,6,11,20,32,69
Alabama,2020-08-23,,estimate,2,3,4,0,1,1,3,4,10
Alabama,2020-08-24,,estimate,6,10,11,0,2,4,9,14,31
Alabama,2020-08-25,,estimate,20,28,30,1,8,14,25,38,83
Alabama,2020-08-26,,estimate,21,32,38,1,9,16,28,42,93
Alabama,2020-08-27,,estimate,19,28,30,1,8,14,25,38,87
Alabama,2020-08-28,,estimate,18,27,29,1,7,13,24,36,80
Alabama,2020-08-29,,estimate,14,21,24,1,6,10,18,28,63
Alabama,2020-08-30,,estimate,2,3,3,0,0,1,2,4,9
Alabama,2020-08-31,,estimate,6,8,9,0,2,4,7,12,27
Alabama,2020-09-01,,estimate,16,25,30,1,7,12,21,33,75
Alabama,2020-09-02,,estimate,19,28,29,1,9,14,25,37,86
Alabama,2020-09-03,,estimate,16,25,29,1,7,12,21,34,75
Alabama,2020-09-04,,estimate,15,23,25,1,6,11,20,32,68
Alabama,2020-09-05,,estimate,12,17,18,0,5,9,16,24,53
Alabama,2020-09-06,,estimate,1,2,3,0,0,1,2,3,8
Alabama,2020-09-07,,estimate,5,7,9,0,2,4,7,10,22
Alabama,2020-09-08,,estimate,14,21,22,1,6,11,19,27,63
Alabama,2020-09-09,,estimate,15,22,22,1,6,11,20,30,65
Alabama,2020-09-10,,estimate,15,21,22,1,6,11,19,29,64
Alabama,2020-09-11,,estimate,13,19,20,1,5,9,17,26,60
Alabama,2020-09-12,,estimate,9,14,15,0,4,7,12,19,45
Alabama,2020-09-13,,estimate,1,2,2,0,0,1,1,3,6
Alabama,2020-09-14,,estimate,4,6,7,0,1,3,5,8,20
Alabama,2020-09-15,,estimate,12,17,18,0,5,9,16,24,53
Alabama,2020-09-16,,estimate,12,19,20,1,5,9,17,25,57
Alabama,2020-09-17,,estimate,12,18,19,1,5,9,16,25,57
Alabama,2020-09-18,,estimate,11,16,17,0,4,8,14,22,50
Alabama,2020-09-19,,estimate,8,12,14,0,3,6,10,16,40
Alabama,2020-09-20,,estimate,1,2,2,0,0,1,1,2,6
Alabama,2020-09-21,,estimate,3,5,6,0,1,2,5,7,17
Alabama,2020-09-22,,estimate,10,15,16,0,4,8,13,20,45
Alabama,2020-09-23,,estimate,12,17,18,1,5,8,15,23,51
Alabama,2020-09-24,,estimate,11,16,18,0,5,8,15,22,49
Alabama,2020-09-25,,estimate,10,15,17,0,4,7,13,21,48
Alabama,2020-09-26,,estimate,8,12,13,0,3,6,10,16,37
Alabama,2020-09-27,,estimate,1,1,2,0,0,0,1,2,5
Alabama,2020-09-28,,estimate,3,5,6,0,1,2,4,7,17
Alabama,2020-09-29,,estimate,10,15,15,0,4,7,13,20,43
Alabama,2020-09-30,,estimate,11,16,17,0,4,8,15,21,47
Alabama,2020-10-01,,estimate,11,16,17,0,4,8,14,21,49
Alabama,2020-10-02,,estimate,10,14,15,0,4,7,13,20,45
Alabama,2020-10-03,,estimate,7,11,12,0,3,5,10,15,34
Alabama,2020-10-04,,estimate,1,1,2,0,0,0,1,2,5
Alabama,2020-10-05,,estimate,3,5,6,0,1,2,4,7,16
Alabama,2020-10-06,,estimate,10,15,16,0,4,7,13,19,44
Alabama,2020-10-07,,estimate,11,16,18,1,5,8,15,22,49
Alabama,2020-10-08,,estimate,10,15,16,0,4,7,14,20,47
Alabama,2020-10-09,,estimate,10,15,16,0,4,8,14,22,49
Alabama,2020-10-10,,estimate,7,11,13,0,3,5,10,16,38
Alabama,2020-10-11,,estimate,1,2,2,0,0,1,1,2,6
Alabama,2020-10-12,,estimate,4,5,6,0,1,3,5,7,17
Alabama,2020-10-13,,estimate,10,15,15,0,4,8,14,20,47
Alabama,2020-10-14,,estimate,11,17,19,0,5,9,15,23,53
Alabama,2020-10-15,,estimate,12,17,17,1,5,9,16,24,52
Alabama,2020-10-16,,estimate based on partial data,11,16,18,1,5,8,14,22,49
Alabama,2020-10-17,,estimate based on partial data,8,12,14,0,3,6,11,17,39
Alabama,2020-10-18,,estimate based on partial data,1,2,2,0,0,1,1,2,6
Alabama,2020-10-19,,estimate based on partial data,4,6,7,0,1,3,5,8,19
Alabama,2020-10-20,,estimate based on partial data,11,17,19,0,4,8,15,22,51
Alabama,2020-10-21,,estimate based on partial data,13,19,21,1,6,10,17,26,57
Alabama,2020-10-22,,estimate based on partial data,13,19,21,1,5,9,17,27,59
Alabama,2020-10-23,,estimate based on partial data,11,17,20,0,5,9,15,23,54
Alabama,2020-10-24,,estimate based on partial data,9,14,16,0,3,6,12,19,44
Alabama,2020-10-25,,estimate based on partial data,1,2,3,0,0,1,2,3,7
Alabama,2020-10-26,,estimate based on partial data,4,7,8,0,1,3,6,9,22
Alabama,2020-10-27,,estimate based on partial data,11,18,20,0,5,8,15,24,57
Alabama,2020-10-28,,estimate based on partial data,15,22,23,1,6,11,19,29,68
Alabama,2020-10-29,,estimate based on partial data,14,21,23,1,6,10,18,28,63
Alabama,2020-10-30,,estimate based on partial data,13,21,25,1,6,10,18,27,68
Alabama,2020-10-31,,estimate based on partial data,10,16,19,0,4,7,14,22,54
Alabama,2020-11-01,,estimate based on partial data,1,2,3,0,0,1,2,3,8
Alabama,2020-11-02,,estimate based on partial data,5,8,10,0,2,3,6,10,26
Alabama,2020-11-03,,forecast,14,24,33,1,6,10,18,29,79
Alabama,2020-11-04,,forecast,16,28,40,1,6,12,22,35,91
Alabama,2020-11-05,,forecast,17,31,60,1,6,12,23,35,103
Alabama,2020-11-06,,forecast,16,31,81,1,6,12,21,33,94
