region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2020-10-12,,estimate,2824,3412,2149,1363,2076,2563,3228,4068,7260
Alabama,2020-10-13,,estimate,2859,3461,2170,1385,2109,2595,3275,4132,7334
Alabama,2020-10-14,,estimate,2940,3515,2181,1429,2151,2623,3318,4192,7408
Alabama,2020-10-15,,estimate,3005,3572,2188,1457,2198,2665,3380,4272,7432
Alabama,2020-10-16,,estimate,3054,3633,2195,1496,2250,2713,3444,4339,7528
Alabama,2020-10-17,,estimate,3130,3696,2202,1544,2299,2768,3507,4394,7646
Alabama,2020-10-18,,estimate,3182,3762,2210,1592,2356,2834,3572,4472,7709
Alabama,2020-10-19,,estimate,3242,3830,2218,1659,2402,2887,3656,4542,7850
Alabama,2020-10-20,,estimate,3311,3901,2227,1706,2462,2953,3744,4606,7942
Alabama,2020-10-21,,estimate,3373,3973,2237,1746,2518,3011,3822,4669,8048
Alabama,2020-10-22,,estimate,3445,4048,2249,1797,2590,3076,3896,4771,8157
Alabama,2020-10-23,,estimate,3514,4126,2263,1861,2656,3146,3991,4897,8266
Alabama,2020-10-24,,estimate,3577,4205,2278,1905,2719,3230,4071,5005,8389
Alabama,2020-10-25,,estimate,3661,4287,2296,1945,2790,3308,4155,5075,8578
Alabama,2020-10-26,,estimate,3752,4372,2316,2007,2858,3398,4259,5179,8693
Alabama,2020-10-27,,estimate,3825,4458,2338,2060,2923,3476,4336,5266,8827
Alabama,2020-10-28,,estimate,3897,4547,2365,2110,2990,3553,4410,5357,8926
Alabama,2020-10-29,,estimate,3966,4637,2393,2143,3057,3631,4493,5437,9140
Alabama,2020-10-30,,estimate,4064,4730,2424,2182,3140,3714,4563,5573,9354
Alabama,2020-10-31,,estimate,4159,4825,2458,2230,3205,3785,4664,5662,9640
Alabama,2020-11-01,,estimate,4248,4921,2494,2277,3282,3869,4739,5763,9864
Alabama,2020-11-02,,estimate,4334,5020,2531,2331,3345,3957,4815,5894,10018
Alabama,2020-11-03,,estimate,4415,5120,2569,2367,3421,4042,4892,6027,10196
Alabama,2020-11-04,,estimate,4513,5221,2609,2435,3498,4117,4990,6159,10330
Alabama,2020-11-05,,estimate,4604,5324,2649,2494,3566,4211,5108,6296,10431
Alabama,2020-11-06,,estimate,4717,5429,2690,2544,3644,4292,5212,6451,10567
Alabama,2020-11-07,,estimate,4806,5535,2732,2595,3719,4367,5323,6558,10793
