Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,945 (17 -- 43439),Likely decreasing,0.7 (0.23 -- 1.8),-0.087 (-0.25 -- 0.21),-8 (3.3 -- -2.7)
Alaska,337 (41 -- 14817),Stable,1 (0.66 -- 2.2),0.0094 (-0.099 -- 0.29),74 (2.4 -- -7)
Arizona,13518 (1215 -- 118918),Likely decreasing,0.9 (0.5 -- 1.3),-0.027 (-0.15 -- 0.077),-25 (9 -- -4.6)
Arkansas,1037 (173 -- 46365),Stable,0.99 (0.63 -- 2.8),-0.0024 (-0.11 -- 0.41),-290 (1.7 -- -6.4)
California,44856 (10441 -- 164571),Likely decreasing,0.95 (0.62 -- 1.3),-0.014 (-0.11 -- 0.082),-50 (8.5 -- -6.3)
Colorado,450 (90 -- 1226),Likely decreasing,0.87 (0.6 -- 1),-0.035 (-0.12 -- 0.0094),-20 (74 -- -5.9)
Connecticut,1281 (112 -- 7051),Likely decreasing,0.89 (0.48 -- 1.2),-0.03 (-0.16 -- 0.06),-23 (12 -- -4.4)
Delaware,4706 (469 -- 38440),Likely increasing,1.3 (0.6 -- 2.3),0.083 (-0.12 -- 0.3),8.4 (2.3 -- -5.8)
District of Columbia,365 (70 -- 2697),Likely decreasing,0.94 (0.66 -- 1.5),-0.016 (-0.098 -- 0.14),-43 (5 -- -7)
Florida,11876 (5039 -- 25618),Likely decreasing,0.92 (0.73 -- 1.1),-0.022 (-0.078 -- 0.029),-32 (24 -- -8.9)
Georgia,5707 (673 -- 31529),Likely decreasing,0.86 (0.43 -- 1.4),-0.04 (-0.18 -- 0.11),-17 (6.5 -- -3.9)
Guam,81 (2 -- 23536),Likely increasing,1.1 (0.64 -- 4),0.038 (-0.1 -- 0.65),18 (1.1 -- -6.6)
Hawaii,130 (0 -- 19849),Stable,0.93 (0.16 -- 3.2),-0.018 (-0.28 -- 0.49),-38 (1.4 -- -2.5)
