region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Ohio,637613 (9343 -- 19650700),637613,4059480,11607400,9343,121876,357931,1098030,2809580,19650700,New confirmed cases by infection date,Likely increasing,0.13
Tennessee,56583 (528 -- 3879640),56583,826383,2750150,528,6285,26740,115128,416589,3879640,New confirmed cases by infection date,Likely increasing,0.1
US,27468 (13765 -- 62910),27468,32140,25484,13765,20359,24567,30854,37166,62910,New confirmed cases by infection date,Likely decreasing,0.74
California,5889 (2019 -- 39893),5889,12687,33337,2019,3503,4898,7317,11067,39893,New confirmed cases by infection date,Likely increasing,0.28
Utah,2574 (197 -- 114474),2574,40734,275586,197,763,1529,4471,11086,114474,New confirmed cases by infection date,Likely increasing,0.18
Texas,2321 (1237 -- 4128),2321,2483,1076,1237,1831,2118,2541,2918,4128,New confirmed cases by infection date,Likely decreasing,0.88
Arizona,1733 (548 -- 5709),1733,2495,4119,548,1152,1485,2022,2625,5709,New confirmed cases by infection date,Stable,0.54
Washington,1688 (514 -- 7567),1688,2745,5027,514,1107,1417,1987,2694,7567,New confirmed cases by infection date,Stable,0.49
New Jersey,1485 (464 -- 12044),1485,3870,14237,464,810,1120,2046,3482,12044,New confirmed cases by infection date,Stable,0.44
Michigan,1360 (295 -- 5613),1360,1968,2157,295,784,1081,1678,2367,5613,New confirmed cases by infection date,Likely decreasing,0.89
North Carolina,1305 (291 -- 3669),1305,1606,2008,291,831,1125,1493,1877,3669,New confirmed cases by infection date,Likely decreasing,0.81
Georgia,1284 (76 -- 5517),1284,2006,5530,76,560,966,1614,2312,5517,New confirmed cases by infection date,Likely decreasing,0.82
Wisconsin,1070 (54 -- 6055),1070,2493,18155,54,448,793,1417,2131,6055,New confirmed cases by infection date,Likely decreasing,0.7
Florida,950 (58 -- 29890),950,24850,306828,58,337,638,1376,2693,29890,New confirmed cases by infection date,Likely decreasing,0.68
Pennsylvania,905 (181 -- 7002),905,1947,3889,181,501,743,1118,1629,7002,New confirmed cases by infection date,Likely decreasing,0.84
Colorado,898 (140 -- 3490),898,1258,1417,140,493,721,1118,1602,3490,New confirmed cases by infection date,Likely decreasing,0.75
Virginia,863 (308 -- 3620),863,1369,3265,308,596,759,999,1286,3620,New confirmed cases by infection date,Likely decreasing,0.65
Louisiana,819 (313 -- 4196),819,1437,1710,313,568,712,988,1731,4196,New confirmed cases by infection date,Stable,0.54
Alabama,765 (25 -- 4362),765,1640,7169,25,276,536,985,1495,4362,New confirmed cases by infection date,Likely decreasing,0.74
Minnesota,725 (239 -- 2400),725,1001,1564,239,509,637,837,1078,2400,New confirmed cases by infection date,Likely decreasing,0.68
Missouri,565 (43 -- 3497),565,2013,15500,43,240,420,730,1096,3497,New confirmed cases by infection date,Likely decreasing,0.83
Indiana,560 (60 -- 2223),560,786,944,60,283,441,708,970,2223,New confirmed cases by infection date,Likely decreasing,0.85
Wyoming,560 (52 -- 13876),560,5038,35015,52,216,396,764,1601,13876,New confirmed cases by infection date,Likely increasing,0.2
Kansas,474 (36 -- 3611),474,5139,166969,36,227,371,622,948,3611,New confirmed cases by infection date,Stable,0.55
New York,447 (80 -- 1167),447,510,397,80,251,358,531,668,1167,New confirmed cases by infection date,Decreasing,0.95
South Carolina,430 (93 -- 3445),430,1465,11845,93,247,342,549,838,3445,New confirmed cases by infection date,Likely decreasing,0.75
Idaho,410 (59 -- 5498),410,3692,64835,59,202,315,554,1039,5498,New confirmed cases by infection date,Stable,0.44
Nevada,407 (58 -- 2011),407,724,1887,58,234,322,493,701,2011,New confirmed cases by infection date,Likely decreasing,0.63
Illinois,388 (38 -- 1847),388,590,734,38,177,294,502,738,1847,New confirmed cases by infection date,Decreasing,0.95
Iowa,374 (76 -- 2016),374,724,2674,76,224,308,463,656,2016,New confirmed cases by infection date,Likely decreasing,0.66
Arkansas,330 (109 -- 1474),330,514,679,109,219,282,388,553,1474,New confirmed cases by infection date,Likely decreasing,0.63
Oklahoma,320 (0 -- 10154),320,18763,234028,0,48,159,514,1159,10154,New confirmed cases by infection date,Likely decreasing,0.72
Mississippi,308 (48 -- 1475),308,621,3366,48,183,255,376,542,1475,New confirmed cases by infection date,Likely decreasing,0.67
New Mexico,289 (18 -- 2035),289,1021,12487,18,118,216,383,597,2035,New confirmed cases by infection date,Likely decreasing,0.76
