Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,35 (0 -- 73),Unsure,1.06 (0.58 -- 1.32),0.02 (-0.11 -- 0.1),45.2 (7.3 -- -6.2)
Alaska,0 (0 -- 2),Unsure,1.03 (0.26 -- 1.66),0.01 (-0.24 -- 0.17),96.8 (4 -- -2.9)
Arizona,29 (0 -- 109),Unsure,0.86 (0.31 -- 1.34),-0.04 (-0.19 -- 0.11),-17.2 (6.1 -- -3.6)
Arkansas,21 (3 -- 56),Unsure,1.15 (0.74 -- 1.6),0.04 (-0.07 -- 0.15),17.6 (4.5 -- -9.4)
California,207 (92 -- 356),Likely increasing,1.08 (0.93 -- 1.29),0.02 (-0.02 -- 0.08),31.7 (9.2 -- -36.6)
Colorado,3 (0 -- 8),Unsure,0.9 (0.18 -- 1.24),-0.03 (-0.26 -- 0.07),-25 (9.6 -- -2.7)
Connecticut,0 (0 -- 2),Likely decreasing,0.81 (0.03 -- 1.06),-0.05 (-0.26 -- 0.07),-12.9 (9.4 -- -2.7)
Delaware,1 (0 -- 8),Unsure,0.85 (0 -- 1.56),-0.04 (-0.34 -- 0.18),-16.3 (3.9 -- -2.1)
District of Columbia,0 (0 -- 2),Unsure,0.9 (0.44 -- 1.52),-0.03 (-0.16 -- 0.14),-25.2 (4.9 -- -4.3)
Florida,196 (34 -- 392),Unsure,1.03 (0.67 -- 1.27),0.01 (-0.1 -- 0.07),89.3 (9.5 -- -7.3)
Georgia,92 (1 -- 268),Unsure,1.11 (0.64 -- 1.59),0.03 (-0.1 -- 0.16),22.9 (4.4 -- -6.8)
Hawaii,1 (0 -- 8),Unsure,1.11 (0.29 -- 2.19),0.03 (-0.2 -- 0.31),23.4 (2.2 -- -3.5)
Idaho,18 (0 -- 45),Unsure,1.2 (0.61 -- 1.58),0.05 (-0.11 -- 0.15),13.1 (4.6 -- -6.3)
Illinois,21 (1 -- 58),Unsure,1.03 (0.54 -- 1.45),0.01 (-0.11 -- 0.14),89.9 (5.1 -- -6.1)
Indiana,9 (1 -- 18),Unsure,0.99 (0.71 -- 1.27),0 (-0.08 -- 0.07),-220.2 (9.5 -- -8.5)
Iowa,12 (0 -- 33),Unsure,1.09 (0.73 -- 1.53),0.02 (-0.08 -- 0.14),29.7 (5 -- -8.9)
Kansas,2 (0 -- 6),Unsure,0.95 (0.21 -- 1.26),-0.01 (-0.22 -- 0.1),-50.4 (6.8 -- -3.2)
Kentucky,5 (0 -- 11),Unsure,0.99 (0.47 -- 1.34),0 (-0.16 -- 0.09),-368.3 (7.7 -- -4.4)
Louisiana,55 (1 -- 129),Unsure,1.09 (0.75 -- 1.5),0.02 (-0.07 -- 0.13),28 (5.4 -- -9.7)
Maine,0 (0 -- 2),Unsure,0.94 (0.32 -- 1.45),-0.02 (-0.21 -- 0.12),-42.1 (6 -- -3.2)
Maryland,11 (1 -- 26),Unsure,1.01 (0.67 -- 1.35),0 (-0.09 -- 0.1),385.9 (7.1 -- -7.5)
Massachusetts,12 (1 -- 33),Unsure,0.96 (0.65 -- 1.34),-0.01 (-0.09 -- 0.1),-60.2 (7.2 -- -7.4)
Michigan,8 (0 -- 26),Unsure,0.99 (0.62 -- 1.4),0 (-0.09 -- 0.13),-171.7 (5.3 -- -8.1)
Minnesota,8 (1 -- 24),Unsure,1.06 (0.72 -- 1.5),0.02 (-0.08 -- 0.14),41.1 (5.1 -- -9.1)
Mississippi,47 (10 -- 106),Likely increasing,1.09 (0.79 -- 1.38),0.03 (-0.06 -- 0.1),27.4 (7.1 -- -11.4)
Missouri,13 (0 -- 32),Unsure,1.05 (0.62 -- 1.37),0.01 (-0.1 -- 0.11),55.9 (6.4 -- -7.1)
Montana,5 (0 -- 14),Unsure,1.18 (0.59 -- 1.77),0.05 (-0.11 -- 0.21),14.3 (3.3 -- -6.3)
