region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Hawaii,2020-10-12,,estimate,-0.186,-0.189,0.033,-0.248,-0.207,-0.194,-0.179,-0.167,-0.141
Maryland,2020-12-18,,forecast,-0.17,-0.173,0.033,-0.232,-0.192,-0.179,-0.162,-0.15,-0.122
Utah,2020-12-03,,estimate based on partial data,-0.169,-0.171,0.028,-0.222,-0.187,-0.175,-0.163,-0.154,-0.131
South Dakota,2020-12-13,,forecast,-0.165,-0.168,0.027,-0.218,-0.183,-0.171,-0.159,-0.149,-0.127
Hawaii,2020-10-13,,estimate,-0.163,-0.166,0.025,-0.209,-0.18,-0.17,-0.158,-0.149,-0.129
Montana,2020-12-04,,estimate based on partial data,-0.161,-0.163,0.026,-0.208,-0.177,-0.167,-0.155,-0.146,-0.125
Virginia,2020-12-12,,forecast,-0.16,-0.163,0.027,-0.211,-0.179,-0.167,-0.154,-0.146,-0.124
New Mexico,2020-12-20,,forecast,-0.158,-0.161,0.029,-0.213,-0.179,-0.165,-0.151,-0.141,-0.119
North Carolina,2020-12-24,,forecast,-0.157,-0.16,0.027,-0.208,-0.174,-0.163,-0.151,-0.142,-0.122
Mississippi,2020-12-17,,forecast,-0.156,-0.159,0.026,-0.206,-0.174,-0.163,-0.15,-0.141,-0.12
North Dakota,2020-12-11,,forecast,-0.156,-0.158,0.026,-0.205,-0.173,-0.162,-0.15,-0.141,-0.122
Massachusetts,2020-12-27,,forecast,-0.155,-0.159,0.027,-0.209,-0.173,-0.162,-0.15,-0.141,-0.122
Wisconsin,2020-12-31,,forecast,-0.154,-0.157,0.026,-0.203,-0.171,-0.16,-0.149,-0.14,-0.12
Louisiana,2020-12-19,,forecast,-0.154,-0.157,0.026,-0.202,-0.172,-0.16,-0.149,-0.14,-0.121
Puerto Rico,2020-12-13,,forecast,-0.154,-0.157,0.027,-0.203,-0.172,-0.161,-0.148,-0.139,-0.12
Rhode Island,2020-12-10,,forecast,-0.153,-0.156,0.026,-0.204,-0.17,-0.159,-0.148,-0.139,-0.119
Delaware,2020-11-27,,estimate based on partial data,-0.153,-0.156,0.026,-0.204,-0.169,-0.159,-0.147,-0.138,-0.119
Connecticut,2020-12-23,,forecast,-0.153,-0.156,0.026,-0.201,-0.171,-0.159,-0.147,-0.139,-0.119
Oregon,2020-12-18,,forecast,-0.153,-0.156,0.026,-0.2,-0.171,-0.159,-0.147,-0.139,-0.12
