region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Alabama,2020-08-30,estimate,13,13,3,12,14,11,15,8,18
Alabama,2020-08-31,estimate,13,13,3,12,14,10,14,8,17
Alabama,2020-09-01,estimate,12,12,3,12,13,9,14,7,17
Alabama,2020-09-02,estimate,12,12,3,11,13,9,13,7,17
Alabama,2020-09-03,estimate,12,12,3,11,12,9,13,7,16
Alabama,2020-09-04,estimate,11,11,3,11,13,9,13,6,16
Alabama,2020-09-05,estimate,11,11,3,10,12,9,13,6,16
Alabama,2020-09-06,estimate,11,11,3,10,11,9,13,6,16
Alabama,2020-09-07,estimate,11,11,3,9,11,9,13,6,15
Alabama,2020-09-08,estimate,10,11,3,9,10,8,12,5,15
Alabama,2020-09-09,estimate,10,10,3,10,11,8,12,6,15
Alabama,2020-09-10,estimate,10,10,3,10,11,8,12,6,15
Alabama,2020-09-11,estimate,10,10,3,9,10,8,11,6,15
Alabama,2020-09-12,estimate,10,10,3,10,11,8,12,6,15
Alabama,2020-09-13,estimate,10,10,3,9,11,8,11,6,15
Alabama,2020-09-14,estimate,10,10,3,9,10,8,11,6,14
Alabama,2020-09-15,estimate,10,10,3,9,10,8,11,6,14
Alabama,2020-09-16,estimate,10,10,3,9,10,8,11,6,14
Alabama,2020-09-17,estimate,10,10,3,9,10,8,11,6,15
Alabama,2020-09-18,estimate,10,10,3,8,10,8,11,6,15
Alabama,2020-09-19,estimate,10,10,3,8,10,8,11,6,15
Alabama,2020-09-20,estimate,10,10,3,8,9,7,11,6,15
Alabama,2020-09-21,estimate,10,10,3,8,9,8,11,6,15
Alabama,2020-09-22,estimate,10,11,3,8,9,8,11,6,15
Alabama,2020-09-23,estimate,10,11,3,8,10,7,11,6,15
Alabama,2020-09-24,estimate based on partial data,10,11,4,8,9,7,11,6,16
Alabama,2020-09-25,estimate based on partial data,10,11,4,9,10,7,11,6,17
Alabama,2020-09-26,estimate based on partial data,10,11,4,9,11,7,11,5,17
Alabama,2020-09-27,estimate based on partial data,11,11,5,9,11,6,12,4,18
Alabama,2020-09-28,estimate based on partial data,11,12,6,9,11,6,12,4,20
Alabama,2020-09-29,estimate based on partial data,11,12,6,7,9,6,12,4,22
Alabama,2020-09-30,estimate based on partial data,11,13,8,7,9,5,12,3,23
Alabama,2020-10-01,estimate based on partial data,11,13,9,6,9,5,12,2,25
Alabama,2020-10-02,estimate based on partial data,11,14,11,6,8,4,12,1,27
Alabama,2020-10-03,estimate based on partial data,11,15,15,6,8,4,11,1,31
Alabama,2020-10-04,estimate based on partial data,11,17,19,5,8,4,12,0,35
Alabama,2020-10-05,estimate based on partial data,11,19,28,5,8,3,12,0,39
Alabama,2020-10-06,estimate based on partial data,10,22,43,5,8,3,12,0,46
Alabama,2020-10-07,estimate based on partial data,10,26,76,4,7,3,12,0,52
Alabama,2020-10-08,estimate based on partial data,10,33,158,4,7,2,12,0,59
Alabama,2020-10-09,estimate based on partial data,10,46,388,4,7,1,11,0,70
Alabama,2020-10-10,estimate based on partial data,10,74,1116,4,7,1,11,0,86
Alabama,2020-10-11,estimate based on partial data,10,154,3734,4,7,1,11,0,101
Alabama,2020-10-12,forecast,10,374,12031,4,7,0,10,0,117
Alabama,2020-10-13,forecast,10,1033,38889,3,7,0,10,0,135
Alabama,2020-10-14,forecast,10,3082,125813,3,7,0,10,0,157
Alabama,2020-10-15,forecast,10,9564,407142,3,7,0,10,0,182
Alabama,2020-10-16,forecast,10,30280,1317668,3,6,0,10,0,213
Alabama,2020-10-17,forecast,10,96854,4264615,0,3,0,10,0,251
Alabama,2020-10-18,forecast,10,311444,13802538,0,3,0,10,0,297
Alabama,2020-10-19,forecast,10,1004307,44672474,0,3,0,10,0,352
Alabama,2020-10-20,forecast,10,3243575,144584506,0,3,0,10,0,409
Alabama,2020-10-21,forecast,10,10484780,467954629,0,3,0,10,0,481
Alabama,2020-10-22,forecast,10,33908792,1514557675,0,3,0,10,0,566
Alabama,2020-10-23,forecast,10,109696638,4901938968,0,3,0,10,0,654
Alabama,2020-10-24,forecast,10,354936717,15865361777,0,2,0,10,0,784
Alabama,2020-10-25,forecast,10,1148563763,51349007260,0,2,0,10,0,923
Alabama,2020-10-26,forecast,9,3716960704,166193531384,0,2,0,9,0,1083
Alabama,2020-10-27,forecast,9,12029253886,537893349271,0,2,0,9,0,1259
Alabama,2020-10-28,forecast,9,38931456048,1740917651446,0,2,0,9,0,1506
Alabama,2020-10-29,forecast,9,125999763126,5634563529294,0,2,0,9,0,1773
Alabama,2020-10-30,forecast,9,407796378308,18236535193167,0,2,0,9,0,2087
Alabama,2020-10-31,forecast,9,1319835875414,59023420908221,0,2,0,9,0,2462
Alabama,2020-11-01,forecast,9,4271676819427,191032132565281,0,2,0,9,0,2891
Alabama,2020-11-02,forecast,9,13825411872892,618284658212866,0,2,0,9,0,3404
Alabama,2020-11-03,forecast,9,44746448591435,2001107945056720,0,2,0,9,0,4025
Alabama,2020-11-04,forecast,9,144823684676554,6476681819927760,0,1,0,9,0,4760
Alabama,2020-11-05,forecast,9,468728067251397,20962091267340800,0,1,0,9,0,5628
