region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Alabama,2020-08-09,estimate,18,18,2,18,19,17,20,15,22
Alabama,2020-08-10,estimate,18,18,2,17,18,16,19,14,22
Alabama,2020-08-11,estimate,18,18,2,17,18,16,19,14,22
Alabama,2020-08-12,estimate,17,18,3,17,18,15,19,14,22
Alabama,2020-08-13,estimate,17,17,3,16,18,15,18,13,21
Alabama,2020-08-14,estimate,17,17,3,16,17,15,18,13,21
Alabama,2020-08-15,estimate,17,17,3,16,17,14,18,12,21
Alabama,2020-08-16,estimate,16,17,3,16,17,14,18,12,21
Alabama,2020-08-17,estimate,16,16,3,15,17,14,17,12,21
Alabama,2020-08-18,estimate,16,16,3,15,16,13,17,11,21
Alabama,2020-08-19,estimate,16,16,3,15,16,13,17,11,20
Alabama,2020-08-20,estimate,15,16,3,15,16,13,17,11,20
Alabama,2020-08-21,estimate,15,15,3,15,16,13,16,10,20
Alabama,2020-08-22,estimate,15,15,3,14,16,12,16,10,20
Alabama,2020-08-23,estimate,14,14,3,13,15,13,16,10,18
Alabama,2020-08-24,estimate,14,14,3,13,14,12,15,10,18
Alabama,2020-08-25,estimate,14,14,3,13,14,11,15,10,18
Alabama,2020-08-26,estimate,13,14,3,12,13,11,14,9,17
Alabama,2020-08-27,estimate,13,13,3,12,13,11,14,10,17
Alabama,2020-08-28,estimate,13,13,3,12,13,11,14,9,17
Alabama,2020-08-29,estimate,12,13,3,12,13,11,14,9,17
Alabama,2020-08-30,estimate,12,12,3,12,13,10,14,8,16
Alabama,2020-08-31,estimate,12,12,3,11,12,9,13,8,16
Alabama,2020-09-01,estimate,12,12,3,11,12,9,13,8,16
Alabama,2020-09-02,estimate,11,12,3,10,12,9,12,7,16
Alabama,2020-09-03,estimate based on partial data,11,11,3,10,11,9,13,7,16
Alabama,2020-09-04,estimate based on partial data,11,11,3,9,11,9,12,6,16
Alabama,2020-09-05,estimate based on partial data,11,11,3,9,10,8,11,6,16
Alabama,2020-09-06,estimate based on partial data,10,11,3,9,11,7,11,6,16
Alabama,2020-09-07,estimate based on partial data,10,11,3,9,10,7,11,5,16
Alabama,2020-09-08,estimate based on partial data,10,10,4,9,10,7,11,5,16
Alabama,2020-09-09,estimate based on partial data,10,10,4,8,10,7,11,5,16
Alabama,2020-09-10,estimate based on partial data,9,10,4,8,9,7,11,5,16
Alabama,2020-09-11,estimate based on partial data,9,10,4,8,9,6,10,4,16
Alabama,2020-09-12,estimate based on partial data,9,10,4,8,9,6,10,4,15
Alabama,2020-09-13,estimate based on partial data,9,10,4,7,9,5,10,4,15
Alabama,2020-09-14,estimate based on partial data,9,9,4,6,8,5,9,4,16
Alabama,2020-09-15,estimate based on partial data,8,9,4,6,8,5,9,4,16
Alabama,2020-09-16,estimate based on partial data,8,9,4,6,8,5,9,3,16
Alabama,2020-09-17,estimate based on partial data,8,9,5,6,8,5,9,3,15
Alabama,2020-09-18,estimate based on partial data,8,9,5,6,8,4,9,3,15
Alabama,2020-09-19,estimate based on partial data,8,9,5,5,7,4,9,2,15
Alabama,2020-09-20,estimate based on partial data,7,9,5,5,7,4,8,2,15
Alabama,2020-09-21,forecast,7,9,5,5,7,4,8,2,15
Alabama,2020-09-22,forecast,7,8,5,5,6,4,8,2,15
Alabama,2020-09-23,forecast,7,8,5,4,6,4,8,2,15
Alabama,2020-09-24,forecast,7,8,5,4,6,3,8,2,15
Alabama,2020-09-25,forecast,7,8,5,4,6,3,8,2,15
Alabama,2020-09-26,forecast,7,8,6,4,6,3,7,2,15
Alabama,2020-09-27,forecast,6,8,6,4,5,3,7,1,15
Alabama,2020-09-28,forecast,6,8,6,3,5,2,7,1,15
Alabama,2020-09-29,forecast,6,8,6,3,5,2,7,1,15
Alabama,2020-09-30,forecast,6,8,6,3,5,2,7,1,15
Alabama,2020-10-01,forecast,6,8,6,3,5,2,7,1,15
Alabama,2020-10-02,forecast,6,8,6,3,5,2,6,1,15
Alabama,2020-10-03,forecast,6,7,7,3,4,2,6,1,15
Alabama,2020-10-04,forecast,5,7,7,3,4,2,6,1,15
Alabama,2020-10-05,forecast,5,7,7,3,4,2,6,1,14
Alabama,2020-10-06,forecast,5,7,7,2,4,1,6,1,14
Alabama,2020-10-07,forecast,5,7,7,2,4,1,6,1,14
Alabama,2020-10-08,forecast,5,7,7,2,4,1,5,1,14
Alabama,2020-10-09,forecast,5,7,8,2,4,1,5,0,14
Alabama,2020-10-10,forecast,5,7,8,2,3,1,5,1,15
Alabama,2020-10-11,forecast,5,7,8,2,3,1,5,0,14
Alabama,2020-10-12,forecast,5,7,8,2,3,1,5,0,14
Alabama,2020-10-13,forecast,4,7,8,2,3,1,5,0,14
Alabama,2020-10-14,forecast,4,7,8,2,3,1,5,0,14
Alabama,2020-10-15,forecast,4,7,9,2,3,1,5,0,14
Alabama,2020-10-16,forecast,4,7,9,1,3,1,4,0,14
Alabama,2020-10-17,forecast,4,7,9,1,2,1,4,0,14
Alabama,2020-10-18,forecast,4,7,9,1,2,1,4,0,14
Alabama,2020-10-19,forecast,4,7,10,1,2,1,4,0,14
Alabama,2020-10-20,forecast,4,7,10,1,2,1,4,0,14
Alaska,2020-08-10,estimate,0,0,0,0,0,0,0,0,0
