region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Alabama,2020-08-30,estimate,2,3,3,0,0,0,2,0,7
Alabama,2020-08-31,estimate,8,12,12,0,3,0,8,0,26
Alabama,2020-09-01,estimate,16,22,22,1,6,0,16,0,50
Alabama,2020-09-02,estimate,15,20,18,1,6,1,15,0,43
Alabama,2020-09-03,estimate,19,25,24,2,8,1,19,0,56
Alabama,2020-09-04,estimate,17,24,24,0,6,0,17,0,53
Alabama,2020-09-05,estimate,14,18,18,0,5,1,14,0,40
Alabama,2020-09-06,estimate,2,3,3,0,0,0,2,0,6
Alabama,2020-09-07,estimate,7,11,11,1,3,0,7,0,23
Alabama,2020-09-08,estimate,14,20,20,0,5,0,14,0,43
Alabama,2020-09-09,estimate,12,17,16,1,5,0,12,0,37
Alabama,2020-09-10,estimate,15,22,23,0,5,0,15,0,49
Alabama,2020-09-11,estimate,14,19,19,0,5,0,14,0,44
Alabama,2020-09-12,estimate,11,15,15,0,4,0,11,0,34
Alabama,2020-09-13,estimate,1,2,3,0,0,0,1,0,5
Alabama,2020-09-14,estimate,6,9,9,0,2,0,6,0,20
Alabama,2020-09-15,estimate,11,16,15,0,4,0,11,0,35
Alabama,2020-09-16,estimate,10,14,14,1,4,0,10,0,33
Alabama,2020-09-17,estimate,12,17,17,1,5,0,12,0,38
Alabama,2020-09-18,estimate,11,15,15,0,4,0,11,0,35
Alabama,2020-09-19,estimate,9,13,13,0,3,0,9,0,28
Alabama,2020-09-20,estimate,1,2,2,0,0,0,1,0,4
Alabama,2020-09-21,estimate,5,8,8,0,2,0,5,0,18
Alabama,2020-09-22,estimate,10,13,13,1,4,0,10,0,29
Alabama,2020-09-23,estimate,9,13,13,0,3,0,9,0,29
Alabama,2020-09-24,estimate based on partial data,11,15,16,0,4,0,11,0,35
Alabama,2020-09-25,estimate based on partial data,11,15,15,0,4,0,11,0,32
Alabama,2020-09-26,estimate based on partial data,8,12,13,0,3,0,8,0,27
Alabama,2020-09-27,estimate based on partial data,1,2,2,0,0,0,1,0,4
Alabama,2020-09-28,estimate based on partial data,5,7,7,0,1,0,5,0,16
Alabama,2020-09-29,estimate based on partial data,9,13,13,0,3,0,9,0,29
Alabama,2020-09-30,estimate based on partial data,9,12,13,0,3,0,9,0,27
Alabama,2020-10-01,estimate based on partial data,11,15,15,0,4,0,11,0,34
Alabama,2020-10-02,estimate based on partial data,10,15,15,0,3,0,10,0,32
Alabama,2020-10-03,estimate based on partial data,8,11,12,0,3,0,8,0,25
Alabama,2020-10-04,estimate based on partial data,1,2,2,0,0,0,1,0,4
Alabama,2020-10-05,estimate based on partial data,5,7,8,1,2,0,5,0,17
Alabama,2020-10-06,estimate based on partial data,10,13,14,0,3,0,10,0,31
Alabama,2020-10-07,estimate based on partial data,9,13,14,0,3,0,9,0,29
Alabama,2020-10-08,estimate based on partial data,11,16,16,0,4,0,11,0,36
Alabama,2020-10-09,estimate based on partial data,11,17,19,0,4,0,11,0,37
Alabama,2020-10-10,estimate based on partial data,8,13,15,0,3,0,8,0,30
Alabama,2020-10-11,estimate based on partial data,1,2,3,0,0,0,1,0,5
Alabama,2020-10-12,forecast,6,9,13,0,2,0,6,0,22
Alabama,2020-10-13,forecast,10,18,36,0,3,0,10,0,39
Alabama,2020-10-14,forecast,10,19,50,0,3,0,10,0,41
Alabama,2020-10-15,forecast,13,26,62,0,4,0,13,0,51
Alabama,2020-10-16,forecast,12,29,74,0,4,0,12,0,56
Alabama,2020-10-17,forecast,9,33,197,0,3,0,9,0,45
Alabama,2020-10-18,forecast,1,6,59,0,0,0,1,0,8
Alabama,2020-10-19,forecast,5,46,645,0,1,0,5,0,36
Alabama,2020-10-20,forecast,11,756,20647,0,3,0,11,0,75
Alabama,2020-10-21,forecast,10,580,14145,0,2,0,10,0,78
Alabama,2020-10-22,forecast,12,2313,70019,0,3,0,12,0,100
Alabama,2020-10-23,forecast,12,2390,70049,0,3,0,12,0,117
Alabama,2020-10-24,forecast,9,3531,92531,0,2,0,9,0,102
Alabama,2020-10-25,forecast,1,2400,83957,0,0,0,1,0,16
Alabama,2020-10-26,forecast,5,18446,554803,0,1,0,5,0,90
Alabama,2020-10-27,forecast,10,15556,255567,0,2,0,10,0,178
Alabama,2020-10-28,forecast,10,24918,479066,0,2,0,10,0,198
Alabama,2020-10-29,forecast,12,14483,290696,0,3,0,12,0,272
Alabama,2020-10-30,forecast,11,73621,1470092,0,2,0,11,0,356
