region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Alabama,2020-08-23,estimate,1.17,1.16,0.12,1.17,1.22,1.1,1.25,0.96,1.35
Alabama,2020-08-24,estimate,1.13,1.13,0.12,1.13,1.18,1.08,1.23,0.91,1.3
Alabama,2020-08-25,estimate,1.09,1.09,0.12,1.08,1.14,1.04,1.19,0.89,1.27
Alabama,2020-08-26,estimate,1.06,1.06,0.11,1.05,1.1,0.99,1.14,0.87,1.23
Alabama,2020-08-27,estimate,1.03,1.03,0.11,1.01,1.07,0.97,1.12,0.85,1.21
Alabama,2020-08-28,estimate,1.01,1.01,0.11,1,1.06,0.96,1.1,0.82,1.18
Alabama,2020-08-29,estimate,0.99,0.98,0.11,0.99,1.04,0.91,1.06,0.81,1.18
Alabama,2020-08-30,estimate,0.97,0.96,0.11,0.97,1.03,0.9,1.04,0.79,1.15
Alabama,2020-08-31,estimate,0.95,0.95,0.11,0.9,0.95,0.88,1.02,0.79,1.14
Alabama,2020-09-01,estimate,0.93,0.93,0.11,0.94,0.99,0.86,1,0.76,1.11
Alabama,2020-09-02,estimate,0.92,0.92,0.11,0.93,0.98,0.87,1.01,0.75,1.1
Alabama,2020-09-03,estimate,0.91,0.91,0.11,0.88,0.93,0.85,0.99,0.75,1.09
Alabama,2020-09-04,estimate,0.9,0.9,0.1,0.87,0.92,0.83,0.96,0.73,1.07
Alabama,2020-09-05,estimate,0.89,0.89,0.1,0.86,0.91,0.84,0.97,0.73,1.06
Alabama,2020-09-06,estimate,0.89,0.89,0.1,0.86,0.91,0.82,0.95,0.7,1.03
Alabama,2020-09-07,estimate,0.88,0.88,0.1,0.85,0.9,0.82,0.95,0.72,1.04
Alabama,2020-09-08,estimate,0.88,0.88,0.09,0.87,0.92,0.82,0.94,0.72,1.03
Alabama,2020-09-09,estimate,0.88,0.88,0.09,0.85,0.89,0.82,0.95,0.73,1.03
Alabama,2020-09-10,estimate,0.87,0.88,0.09,0.85,0.89,0.8,0.92,0.74,1.03
Alabama,2020-09-11,estimate,0.87,0.88,0.09,0.85,0.9,0.81,0.92,0.74,1.04
Alabama,2020-09-12,estimate,0.88,0.88,0.09,0.85,0.89,0.81,0.92,0.72,1.02
Alabama,2020-09-13,estimate,0.88,0.88,0.09,0.86,0.91,0.82,0.93,0.73,1.03
Alabama,2020-09-14,estimate,0.88,0.88,0.09,0.85,0.89,0.82,0.94,0.72,1.03
Alabama,2020-09-15,estimate,0.88,0.88,0.1,0.87,0.92,0.83,0.94,0.73,1.04
Alabama,2020-09-16,estimate,0.89,0.89,0.1,0.87,0.91,0.84,0.96,0.73,1.04
Alabama,2020-09-17,estimate,0.88,0.89,0.1,0.84,0.89,0.83,0.95,0.73,1.06
Alabama,2020-09-18,estimate,0.89,0.89,0.1,0.85,0.9,0.82,0.95,0.72,1.06
Alabama,2020-09-19,estimate,0.89,0.89,0.1,0.86,0.91,0.83,0.96,0.73,1.07
Alabama,2020-09-20,estimate,0.89,0.89,0.11,0.87,0.92,0.82,0.95,0.7,1.05
Alabama,2020-09-21,estimate,0.88,0.89,0.11,0.83,0.88,0.81,0.94,0.72,1.06
Alabama,2020-09-22,estimate,0.88,0.89,0.11,0.86,0.91,0.81,0.95,0.72,1.07
Alabama,2020-09-23,estimate,0.88,0.89,0.11,0.85,0.9,0.81,0.94,0.71,1.06
