region,date,type,median,lower_90,upper_90,lower_50,upper_50
Alabama,2020-06-07,estimate,1.02,0.89,1.11,1,1.07
Alabama,2020-06-08,estimate,1.03,0.89,1.12,1,1.07
Alabama,2020-06-09,estimate,1.03,0.89,1.13,1.01,1.07
Alabama,2020-06-10,estimate,1.03,0.89,1.13,1,1.07
Alabama,2020-06-11,estimate,1.03,0.88,1.12,1,1.07
Alabama,2020-06-12,estimate,1.04,0.89,1.13,1,1.07
Alabama,2020-06-13,estimate,1.04,0.89,1.13,1.01,1.07
Alabama,2020-06-14,estimate,1.04,0.89,1.14,1.01,1.07
Alabama,2020-06-15,estimate,1.04,0.91,1.16,1.02,1.08
Alabama,2020-06-16,estimate,1.05,0.93,1.17,1.01,1.08
Alabama,2020-06-17,estimate,1.05,0.94,1.18,1.02,1.08
Alabama,2020-06-18,estimate,1.05,0.95,1.19,1.02,1.09
Alabama,2020-06-19,estimate,1.06,0.96,1.19,1.03,1.1
Alabama,2020-06-20,estimate,1.06,0.96,1.19,1.03,1.1
Alabama,2020-06-21,estimate,1.07,0.98,1.21,1.03,1.1
Alabama,2020-06-22,estimate,1.07,0.98,1.21,1.02,1.1
Alabama,2020-06-23,estimate,1.07,1,1.23,1.02,1.09
Alabama,2020-06-24,estimate,1.08,0.99,1.24,1.03,1.1
Alabama,2020-06-25,estimate,1.08,0.99,1.24,1.03,1.1
Alabama,2020-06-26,estimate,1.09,0.99,1.25,1.03,1.11
Alabama,2020-06-27,estimate,1.09,1,1.26,1.03,1.11
Alabama,2020-06-28,estimate,1.09,0.99,1.26,1.03,1.11
Alabama,2020-06-29,estimate,1.09,1,1.28,1.03,1.12
Alabama,2020-06-30,estimate,1.1,0.99,1.27,1.03,1.12
Alabama,2020-07-01,estimate,1.1,1,1.28,1.03,1.12
Alabama,2020-07-02,estimate,1.1,0.98,1.27,1.03,1.12
Alabama,2020-07-03,estimate,1.1,0.99,1.28,1.03,1.12
Alabama,2020-07-04,estimate,1.09,0.99,1.27,1.03,1.12
Alabama,2020-07-05,estimate,1.09,0.99,1.28,1.03,1.12
Alabama,2020-07-06,estimate,1.09,0.98,1.28,1.03,1.12
Alabama,2020-07-07,estimate,1.09,0.99,1.28,1.04,1.12
Alabama,2020-07-08,estimate,1.08,0.99,1.28,1.04,1.12
Alabama,2020-07-09,estimate,1.08,0.98,1.26,1.03,1.11
