INFO [2020-11-13 19:00:57] Runtime error in Alabama : Alabama: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Alaska : Alaska: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Arizona : Arizona: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Arkansas : Arkansas: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in California : California: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Colorado : Colorado: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Connecticut : Connecticut: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Delaware : Delaware: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in District of Columbia : District of Columbia: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Florida : Florida: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Georgia : Georgia: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Guam : Guam: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Hawaii : Hawaii: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Idaho : Idaho: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Illinois : Illinois: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Indiana : Indiana: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Iowa : Iowa: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Kansas : Kansas: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Kentucky : Kentucky: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Louisiana : Louisiana: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Maine : Maine: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Maryland : Maryland: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Massachusetts : Massachusetts: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Michigan : Michigan: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Minnesota : Minnesota: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Mississippi : Mississippi: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Missouri : Missouri: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Montana : Montana: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Nebraska : Nebraska: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Nevada : Nevada: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in New Hampshire : New Hampshire: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in New Jersey : New Jersey: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in New Mexico : New Mexico: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in New York : New York: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in North Carolina : North Carolina: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in North Dakota : North Dakota: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Ohio : Ohio: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Oklahoma : Oklahoma: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Oregon : Oregon: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Pennsylvania : Pennsylvania: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Puerto Rico : Puerto Rico: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Rhode Island : Rhode Island: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in South Carolina : South Carolina: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in South Dakota : South Dakota: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Tennessee : Tennessee: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Texas : Texas: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Utah : Utah: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Virginia : Virginia: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Washington : Washington: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in West Virginia : West Virginia: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in Wisconsin : Wisconsin: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
INFO [2020-11-13 19:00:57] Runtime error in US : US: object 'shifted_cases' not found - create_stan_data, reported_cases, generation_time, delays, rt, gp, obs, shifted_cases$confirm, horizon
